toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,st_rad_err,st_logg_err,st_teff_err,notes,accepted,st_rho,a,b,u_star1,u_star2,u_star1_sd,u_star2_sd,ror
1658.01,1658,286561122,286561122.01,1,PC,04h23m30.29s,65.876229,,,+35d29m42.39s,35.495109,,,-2.883,0.124,-0.124,0.0,1.0,-12.716,0.08,-0.08,0.0,1.0,2458817.94441,0.00457,-0.00457,0,1,0.67994,0.00033,-0.00033,0,1,1.907,0.339,-0.339,0,1,670.0,1.64684,-1.64684,0,1,7.85887,0.6263,-0.6263,0,1,18638.5,,,,,3255.0,,,,,10.2674,0.006,-0.006,0,1,506.864,12.112,-12.112,0,1,7325.5,136.6,-136.6,0,1,3.71,0.09,-0.09,0,1,2.98,0.18,-0.18,0,1,2020-01-29 22:18:55,2021-10-29 12:59:15,0.18,0.09,136.6,,True,0.0884845404318249,1.2931737714838718,0.88011441638896,0.3259034908074813,0.1603721023703386,0.0007275085288054,0.0012675703021782,0.0271728737359735
1677.01,1677,87090944,87090944.01,1,PC,03h53m56.78s,58.486586,,,+58d58m05.88s,58.9683,,,73.759,0.108,-0.108,0.0,1.0,-68.847,0.113,-0.113,0.0,1.0,2458818.20905,0.00224,-0.00224,0,1,0.64367,0.00012,-0.00012,0,1,0.548,0.19,-0.19,0,1,800.0,15.7615,-15.7615,0,1,5.09039,0.718296,-0.718296,0,1,1438.63,,,,,1715.0,,,,,10.1089,0.006,-0.006,0,1,197.14,2.989,-2.989,0,1,5919.7,109.0,-109.0,0,1,4.12,0.08,-0.08,0,1,1.49,0.09,-0.09,0,1,2020-01-29 22:18:56,2021-10-29 12:59:15,0.09,0.08,109.0,,True,0.4548805791324077,2.15176746961054,0.9708220275309388,0.4204805190690718,0.1420425228930606,0.0008362756062805,0.0013283572081194,0.033438335486040034
1701.01,1701,274215536,274215536.01,1,PC,06h39m35.57s,99.898189,,,+42d07m52.82s,42.131339,,,7.743,0.066,-0.066,0.0,1.0,-53.417,0.059,-0.059,0.0,1.0,2458843.37293,0.00208,-0.00208,0,1,1.33418,0.00021,-0.00021,0,1,1.115,0.308,-0.308,0,1,2470.0,9.41862,-9.41862,0,1,4.94538,0.439061,-0.439061,0,1,470.116,,,,,1297.0,,,,,10.9263,0.006,-0.006,0,1,123.643,0.71,-0.71,0,1,4685.1,111.6,-111.6,0,1,4.42,0.09,-0.09,0,1,0.88,0.06,-0.06,0,1,2020-02-19 00:44:40,2021-10-29 12:59:15,0.06,0.09,111.6,,True,1.5367421082473032,5.248847741781155,0.8187151970927328,0.5332234871751166,0.1114238643190264,0.0010708690161887,0.001618104079635,0.05135307362652723
2026.01,2026,407059875,407059875.01,1,PC,00h21m52.69s,5.469534,,,+66d10m05.23s,66.168119,,,-47.349,0.046,-0.046,0.0,1.0,-11.911,0.038,-0.038,0.0,1.0,2458768.29024,0.00474,-0.00474,0,1,7.1924,0.00027,-0.00027,0,1,2.732,0.391,-0.391,0,1,810.0,1.83316,-1.83316,0,1,2.27368,0.180461,-0.180461,0,1,72.3112,,,,,812.0,,,,,10.5782,0.006,-0.006,0,1,108.076,0.3155,-0.3155,0,1,5050.0,146.8,-146.8,0,1,4.59,0.09,-0.09,0,1,0.77,0.05,-0.05,0,1,2020-06-19 07:20:03,2021-10-29 12:59:15,0.05,0.09,146.8,,True,2.597723591725579,19.22357817565708,0.2939267718369779,0.4863146416388169,0.1325344671047213,0.0009974390193884,0.0014844102127611,0.02599015358307908
2033.01,2033,53617134,53617134.01,1,PC,01h10m43.22s,17.680098,,,+65d14m58.73s,65.249648,,,24.971,0.045,-0.045,0.0,1.0,-2.555,0.046,-0.046,0.0,1.0,2458794.6827,0.00243,-0.00243,0,1,18.8238,0.00033,-0.00033,0,1,4.806,0.276,-0.276,0,1,2360.0,1.02517,-1.02517,0,1,9.62606,0.426547,-0.426547,0,1,109.162,,,,,900.0,,,,,9.46221,0.006,-0.006,0,1,281.184,2.458,-2.458,0,1,7014.0,163.9,-163.9,0,1,4.05,0.09,-0.09,0,1,1.95,0.07,-0.07,0,1,2020-06-19 07:20:03,2021-10-29 12:59:15,0.07,0.09,163.9,,True,0.2958346584468133,17.696005492736425,0.8063693375152527,0.3449275312904175,0.1530297834438758,0.0004126855778897,0.0007743367749677,0.04933168161103872
2036.01,2036,368320811,368320811.01,1,PC,15h32m03.58s,233.014923,,,+24d05m06.06s,24.085016,,,-17.558,0.042,-0.042,0.0,1.0,15.161,0.037,-0.037,0.0,1.0,2458981.359291,0.003629,-0.003629,0,1,1.2583329,0.0003927,-0.0003927,0,1,1.17,0.304,-0.304,0,1,440.0,2.6534,-2.6534,0,1,4.91523,0.444234,-0.444234,0,1,1480.01,,,,,1727.0,,,,,8.97913,0.006,-0.006,0,1,231.827,1.6665,-1.6665,0,1,6549.0,134.3,-134.3,0,1,3.89,0.09,-0.09,0,1,2.18,0.09,-0.09,0,1,2020-06-19 07:20:03,2022-06-24 16:02:01,0.09,0.09,134.3,,True,0.1830742105597364,2.4838581195781675,0.9532089549388048,0.375075127297786,0.1458622744390947,0.0005719949087516,0.0010450523912076,0.023683208576342017
2060.01,2060,285542903,285542903.01,1,PC,00h53m04.81s,13.27005,,,+60d37m05.2s,60.618112,,,2.884,0.053,-0.053,0.0,1.0,-1.087,0.055,-0.055,0.0,1.0,2458766.82506,0.00718,-0.00718,0,1,2.26584,0.00013,-0.00013,0,1,2.833,0.379,-0.379,0,1,430.0,0.899966,-0.899966,0,1,7.79082,0.544054,-0.544054,0,1,11752.6,,,,,2900.0,,,,,9.8722,0.023,-0.023,0,1,914.062,34.852,-34.852,0,1,10125.0,419.5,-419.5,0,1,3.62,0.07,-0.07,0,1,4.14,0.18,-0.18,0,1,2020-06-19 07:20:04,2021-10-29 12:59:15,0.18,0.07,419.5,,True,0.0517706148120278,2.4130591119662435,0.918709728045411,0.2395444618081489,0.1356850240958763,0.0002411927082386,0.0006325915049282,0.02189066246633949
2341.01,2341,100267480,100267480.01,1,PC,20h27m22.45s,306.843521,,,-53d13m14.35s,-53.220653,,,45.658,0.051,-0.051,0.0,1.0,-10.599,0.041,-0.041,0.0,1.0,2458681.75145,0.00097,-0.00097,0,1,0.87741,6e-05,-6e-05,0,1,0.472,0.055,-0.055,0,1,12050.0,32.5226,-32.5226,0,1,8.59148,0.463846,-0.463846,0,1,26.3008,,,,,630.0,,,,,12.722,0.008,-0.008,0,1,121.433,0.57,-0.57,0,1,3495.0,157.0,-157.0,0,1,4.64,0.01,-0.01,0,1,0.62,0.02,-0.02,0,1,2020-10-23 19:58:26,2021-10-29 12:59:15,0.02,0.01,157.0,,True,3.619861666129986,5.281448772279854,0.9282711034516848,0.2940410311064207,0.3326819037758322,0.0038517963872975,0.0053176467228106,0.12211441678817762
2350.01,2350,47601197,47601197.01,1,PC,06h29m37.95s,97.408122,,,-21d59m39.79s,-21.994385,,,-5.328,0.024,-0.024,0.0,1.0,-9.006,0.045,-0.045,0.0,1.0,2458476.588785,0.001864,-0.001864,0,1,8.6251769,0.0026704,-0.0026704,0,1,2.704,0.528,-0.528,0,1,1690.0,10.4777,-10.4777,0,1,7.55444,0.550065,-0.550065,0,1,161.98,,,,,993.0,,,,,10.6477,0.006,-0.006,0,1,185.506,1.006,-1.006,0,1,5484.0,123.9,-123.9,0,1,4.35,0.08,-0.08,0,1,1.08,0.06,-0.06,0,1,2020-10-23 19:58:28,2021-10-29 12:59:15,0.06,0.08,123.9,,True,1.0657612070816684,16.123253063385413,0.7498105954971434,0.4403932707321106,0.1413247556939951,0.0008441067309897,0.0013038402946776,0.04098218502159308
2395.01,2395,144124187,144124187.01,1,PC,11h43m31.05s,175.879369,,,-07d17m45.93s,-7.296091,,,-0.528,0.07,-0.07,0.0,1.0,-0.247,0.038,-0.038,0.0,1.0,2459573.959999,0.001266,-0.001266,0,1,15.7373186,1.27e-05,-1.27e-05,0,1,3.993,0.153,-0.153,0,1,10720.0,2.20471,-2.20471,0,1,12.2054,0.602544,-0.602544,0,1,263.429,,,,,1122.0,,,,,11.7622,0.007,-0.007,0,1,413.22,6.3595,-6.3595,0,1,6394.0,125.5,-125.5,0,1,4.43,0.09,-0.09,0,1,1.14,0.05,-0.05,0,1,2020-11-24 20:52:12,2022-03-11 10:10:02,0.05,0.09,125.5,,True,1.2138885426971495,25.142055994264503,0.5501871556843406,0.3665001462564437,0.1637817078165204,0.0006266150970039,0.0011195714491449,0.0987456719925803
